Alpha-3 code,Country,Raw missing observations,Raw missing rate (%),Imputed observations,Interpolation share of total observations (%),Final missing observations after imputation,Final missing rate after imputation (%)
ERI,Eritrea,182,25.49,77,10.78,105,14.71
SYC,Seychelles,112,15.69,7,0.98,105,14.71
DJI,Djibouti,74,10.36,0,0.0,74,10.36
GNQ,Equatorial Guinea,84,11.76,21,2.94,63,8.82
CAF,Central African Republic,52,7.28,31,4.34,21,2.94
STP,São Tomé and Principe,43,6.02,22,3.08,21,2.94
TCD,Chad,34,4.76,13,1.82,21,2.94
LSO,Lesotho,22,3.08,1,0.14,21,2.94
BDI,Burundi,21,2.94,0,0.0,21,2.94
MUS,Mauritius,21,2.94,0,0.0,21,2.94
CIV,Côte d'Ivoire,25,3.5,25,3.5,0,0.0
ZWE,Zimbabwe,17,2.38,17,2.38,0,0.0
GHA,Ghana,16,2.24,16,2.24,0,0.0
LBR,Liberia,12,1.68,12,1.68,0,0.0
RWA,Rwanda,10,1.4,10,1.4,0,0.0
GIN,Guinea,9,1.26,9,1.26,0,0.0
COD,"Congo, Dem. Rep.",8,1.12,8,1.12,0,0.0
GAB,Gabon,8,1.12,8,1.12,0,0.0
COM,Comoros,7,0.98,7,0.98,0,0.0
KEN,Kenya,7,0.98,7,0.98,0,0.0
BFA,Burkina Faso,5,0.7,5,0.7,0,0.0
COG,"Congo, Rep.",5,0.7,5,0.7,0,0.0
GMB,"Gambia, The",5,0.7,5,0.7,0,0.0
MOZ,Mozambique,5,0.7,5,0.7,0,0.0
SLE,Sierra Leone,4,0.56,4,0.56,0,0.0
AGO,Angola,3,0.42,3,0.42,0,0.0
NER,Niger,3,0.42,3,0.42,0,0.0
UGA,Uganda,3,0.42,3,0.42,0,0.0
ETH,Ethiopia,2,0.28,2,0.28,0,0.0
GNB,Guinea-Bissau,2,0.28,2,0.28,0,0.0
MDG,Madagascar,2,0.28,2,0.28,0,0.0
MLI,Mali,1,0.14,1,0.14,0,0.0
NAM,Namibia,1,0.14,1,0.14,0,0.0
TGO,Togo,1,0.14,1,0.14,0,0.0
TZA,Tanzania,1,0.14,1,0.14,0,0.0
BEN,Benin,0,0.0,0,0.0,0,0.0
BWA,Botswana,0,0.0,0,0.0,0,0.0
CMR,Cameroon,0,0.0,0,0.0,0,0.0
CPV,Cape Verde,0,0.0,0,0.0,0,0.0
MWI,Malawi,0,0.0,0,0.0,0,0.0
NGA,Nigeria,0,0.0,0,0.0,0,0.0
SEN,Senegal,0,0.0,0,0.0,0,0.0
SWZ,Swaziland,0,0.0,0,0.0,0,0.0
ZAF,South Africa,0,0.0,0,0.0,0,0.0
ZMB,Zambia,0,0.0,0,0.0,0,0.0
