First-level dimension,Second-level dimension,Third-level indicator,Source
Economic,Development quality,GDP per capita growth,World Bank World Development Indicators (WDI)
,,Merchandise exports (% of GDP),World Bank World Development Indicators (WDI)
,,"Inflation, GDP deflator (annual %)",World Bank World Development Indicators (WDI)
,Industrial development,"Agriculture, forestry, and fishing value added per worker",World Bank World Development Indicators (WDI)
,,Industry value added per worker,World Bank World Development Indicators (WDI)
,,Services value added per worker,World Bank World Development Indicators (WDI)
,External economic linkages,Current account balance (% of GDP),World Bank World Development Indicators (WDI)
Social,Social equity,Employment-to-population ratio,World Bank World Development Indicators (WDI)
,,Gini coefficient,UNU-WIDER World Income Inequality Database (WIID)
,,Women in national parliament (% of seats),World Bank World Development Indicators (WDI)
,,Prevalence of undernourishment,Food and Agriculture Organization of the United Nations (FAO)
,Population conditions,Life expectancy at birth,World Bank World Development Indicators (WDI)
,,Labor force (% of total population),World Bank World Development Indicators (WDI)
,,Population growth (annual %),World Bank World Development Indicators (WDI)
,"Health, science and education",Mean years of schooling,Global Data Lab
,,Scientific and technical journal articles per million people,World Bank World Development Indicators (WDI)
,,HIV prevalence (% of population ages 15-49),World Bank World Development Indicators (WDI)
,,Domestic general government health expenditure (% of GDP),World Bank World Development Indicators (WDI)
,Infrastructure,"Mortality from road traffic injury (per 100,000 population)",World Bank World Development Indicators (WDI)
,,People using at least basic drinking water services (% of population),World Bank World Development Indicators (WDI)
,,Individuals using the Internet (% of population),World Bank World Development Indicators (WDI)
,,Mobile cellular subscriptions (per 100 people),World Bank World Development Indicators (WDI)
,,Access to electricity (% of population),World Bank World Development Indicators (WDI)
Resource,Natural resources,Mineral depletion (% of GNI),World Bank World Development Indicators (WDI)
,,Net forest depletion (% of GNI),World Bank World Development Indicators (WDI)
,,Renewable internal freshwater resources per capita,World Bank World Development Indicators (WDI)
,Resource-use efficiency,Energy intensity of primary energy,World Bank World Development Indicators (WDI)
,,Water productivity,World Bank World Development Indicators (WDI)
,Energy production and consumption,Energy depletion (% of GNI),World Bank World Development Indicators (WDI)
,,Energy consumption per capita,U.S. Energy Information Administration (EIA)
,,"Solar, tidal, wave, and fuel-cell electricity capacity per capita",U.S. Energy Information Administration (EIA)
,,Biomass and waste electricity net generation per capita,U.S. Energy Information Administration (EIA)
Ecological,Ecological conditions,Forest area (% of land area),World Bank World Development Indicators (WDI)
,,Wetland area (% of land area),Yale Environmental Performance Index (EPI)
,,Grassland area (% of land area),Yale Environmental Performance Index (EPI)
,,Terrestrial barren land (% of land area),IMF Climate Change Indicators Dashboard
,Environmental pollution,CO2 emissions per capita,World Bank World Development Indicators (WDI)
,,PM2.5 exposure,Yale Environmental Performance Index (EPI)
,,Lead exposure,Yale Environmental Performance Index (EPI)
,Ecological protection,Terrestrial biome protection,Yale Environmental Performance Index (EPI)
,,Species Protection Index,Yale Environmental Performance Index (EPI)
