Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Seychelles,51.1,51.9,54.7,52.7,52.9,53.2,53.8,52.4,52.9,55.3,58.8,59.0,59.4,57.8,58.2,58.0,58.5,59.8,60.8,61.7,62.8
Gabon,51.0,53.9,54.2,54.0,54.5,54.1,55.2,54.8,54.8,56.0,56.7,57.4,57.4,57.9,57.7,58.1,56.8,57.4,57.6,57.6,57.5
Namibia,46.6,47.4,48.3,49.1,49.2,50.4,50.2,50.3,50.6,51.1,51.5,51.4,52.8,53.6,54.2,54.6,54.8,56.0,55.7,56.6,56.7
Botswana,45.9,46.2,46.4,45.9,46.4,47.4,47.6,47.7,46.4,48.0,49.3,49.6,51.8,52.8,51.3,52.3,52.5,52.3,52.7,52.9,55.1
Mauritius,46.0,46.1,46.0,46.3,47.0,47.2,47.8,47.8,48.2,49.1,49.0,50.0,50.3,51.0,51.3,51.7,51.6,52.2,53.6,53.1,54.0
Senegal,45.9,45.8,46.3,46.4,46.7,47.0,47.0,47.3,47.9,48.2,48.1,49.3,49.6,50.1,50.4,50.7,50.9,51.2,51.7,52.3,52.4
South Africa,41.0,41.4,41.4,41.7,42.2,42.8,42.9,43.0,44.0,44.7,45.9,46.1,46.6,47.4,47.6,48.3,49.0,49.7,50.1,51.3,52.3
Guinea,39.6,43.1,42.6,42.8,43.0,43.8,43.8,43.8,43.8,44.2,44.0,44.5,45.1,45.6,45.7,45.3,48.0,47.9,48.1,50.1,50.8
Ghana,42.6,42.9,43.4,43.3,43.5,44.2,44.2,44.5,45.4,45.9,46.4,46.4,46.9,47.3,47.3,47.9,48.7,49.2,49.2,50.1,50.1
"Congo, Rep.",42.1,42.2,43.5,42.9,42.7,42.9,45.0,46.9,47.1,46.7,48.2,47.9,48.4,48.6,47.7,47.7,48.9,48.9,48.4,48.9,49.5
Guinea-Bissau,42.3,42.2,41.9,42.5,42.8,42.7,43.5,43.7,43.4,43.6,44.7,44.1,44.2,44.8,46.1,46.9,47.5,47.8,47.7,48.3,48.9
Côte d'Ivoire,42.9,43.2,43.2,43.4,43.6,44.1,44.0,44.6,45.3,45.7,45.4,45.7,46.0,46.4,46.9,47.3,47.9,47.7,48.2,48.2,48.8
Comoros,38.8,39.2,39.4,39.7,39.7,40.6,40.8,40.8,40.8,45.6,46.0,46.1,46.2,46.3,46.5,46.5,46.8,47.1,47.3,48.6,48.7
Zambia,41.6,41.9,41.9,42.7,42.8,43.9,43.7,44.4,45.1,45.2,45.7,46.2,46.0,46.4,46.5,46.9,47.7,47.7,48.1,49.5,48.3
São Tomé and Principe,38.2,38.4,40.2,39.5,40.0,41.5,41.4,41.5,42.4,43.3,43.4,43.5,45.0,45.1,45.2,46.3,46.7,46.2,46.2,47.8,48.2
Cape Verde,39.7,39.8,40.1,40.3,40.8,41.2,41.5,41.9,42.0,43.0,43.1,43.7,44.4,44.7,45.1,45.5,45.5,46.2,46.7,46.2,48.1
Equatorial Guinea,51.2,47.8,48.0,51.3,48.5,47.8,48.6,48.8,48.7,48.8,50.2,50.7,49.8,50.7,49.3,48.2,47.2,47.8,48.2,47.8,48.1
Djibouti,36.9,36.9,38.1,36.8,37.3,37.2,35.2,35.0,37.4,39.0,36.9,37.3,35.1,40.4,40.9,42.2,44.6,47.1,48.0,47.9,47.9
Tanzania,41.5,42.2,42.3,42.6,43.3,43.7,43.5,43.9,44.2,44.5,44.4,44.7,44.7,45.4,46.0,46.5,46.6,46.7,47.6,47.4,47.5
Angola,39.2,39.3,39.8,41.0,41.8,43.1,43.6,44.8,44.5,44.9,46.8,47.0,47.1,47.2,46.6,46.8,46.8,47.1,46.8,46.8,47.4
Swaziland,42.6,42.8,44.0,43.7,43.2,43.8,44.0,44.3,43.7,43.9,43.0,43.4,44.0,44.2,44.3,43.9,44.6,44.6,45.9,46.5,47.0
Benin,43.2,43.1,43.2,43.3,43.4,43.7,44.1,44.4,44.8,45.3,45.4,45.6,46.0,45.8,45.2,45.6,45.7,46.2,46.4,46.3,47.0
Burkina Faso,41.1,41.3,41.6,41.9,41.7,42.1,42.5,42.6,44.0,44.4,44.6,44.8,45.0,45.2,45.1,45.8,46.3,46.5,46.9,47.3,46.7
Kenya,39.0,39.4,39.6,40.2,40.6,40.9,41.0,41.3,41.4,42.0,42.5,42.9,43.5,43.7,44.1,44.5,44.7,45.3,45.9,46.0,46.5
"Gambia, The",41.2,41.0,41.6,41.8,41.8,42.2,42.6,43.6,44.1,44.3,43.4,44.0,44.3,45.1,45.5,45.6,45.7,46.3,46.2,46.0,46.0
Zimbabwe,37.6,39.7,39.1,39.8,39.8,39.9,39.4,38.6,41.5,42.4,42.4,43.9,44.6,44.6,44.4,45.2,44.8,45.4,43.7,43.3,45.6
Togo,37.3,37.5,38.0,37.7,38.0,38.5,38.4,41.0,41.4,42.0,41.8,42.0,43.0,43.5,43.2,43.8,44.5,44.9,45.2,45.4,45.2
Cameroon,38.0,38.1,38.3,38.6,39.1,40.0,40.6,40.7,40.9,41.2,41.5,42.0,43.2,43.6,43.3,43.5,43.6,44.0,44.5,44.8,45.0
Sierra Leone,36.9,39.2,39.2,39.8,40.1,40.7,40.6,40.7,40.8,41.7,40.6,42.9,44.4,44.2,43.1,44.0,43.7,43.9,44.3,44.1,44.9
Mozambique,37.8,38.4,38.5,39.9,40.3,40.9,41.4,41.7,42.1,43.0,42.6,41.9,42.3,43.1,42.5,42.5,43.4,43.6,44.3,44.3,44.8
Malawi,39.1,39.1,39.6,39.9,39.8,40.4,40.4,40.6,41.6,41.5,41.9,41.8,41.8,42.1,42.5,42.6,42.8,42.8,43.4,43.5,44.0
Rwanda,35.9,36.6,38.2,37.6,37.6,38.3,37.7,38.3,39.2,39.3,39.6,39.9,40.5,41.0,41.3,41.2,42.1,42.8,42.4,42.6,43.9
Ethiopia,34.2,34.1,33.2,33.9,35.1,35.8,36.3,36.4,37.1,38.2,38.4,39.0,39.6,39.7,40.8,41.6,42.4,42.7,42.9,43.2,43.8
Mali,37.5,37.2,37.7,39.1,39.2,39.3,39.1,39.2,39.4,39.7,40.1,40.3,41.6,42.1,42.0,41.8,41.9,42.5,42.5,44.2,43.1
Nigeria,39.7,39.7,40.5,41.1,41.7,41.7,41.6,42.1,42.4,42.6,42.8,42.9,43.3,43.3,42.5,42.7,42.8,43.3,42.8,42.8,43.0
Lesotho,36.7,37.7,37.1,37.8,37.4,38.1,40.4,40.3,39.1,38.6,39.8,40.4,41.6,42.2,42.6,43.2,43.2,43.3,43.8,42.9,43.0
Niger,35.6,35.6,35.5,36.7,37.6,37.7,37.6,37.9,37.4,37.9,37.9,38.4,38.4,38.6,38.3,38.5,40.0,40.1,42.1,42.2,42.4
Madagascar,40.9,39.4,40.7,40.7,40.2,40.6,40.6,40.4,40.1,40.9,41.3,41.5,41.3,42.4,42.4,42.4,42.6,42.9,42.1,41.7,42.3
Uganda,37.2,38.2,38.0,38.4,38.6,39.5,39.3,39.7,40.1,40.4,40.8,40.9,40.6,41.1,40.7,40.8,41.1,41.5,41.3,41.3,42.0
Chad,35.5,35.5,36.2,37.9,37.4,37.5,37.9,38.0,37.9,38.7,39.0,39.4,39.0,39.3,38.8,38.5,38.5,38.8,38.9,38.7,40.0
Eritrea,36.9,37.6,35.7,36.3,36.8,37.1,37.6,36.4,37.3,37.5,38.1,37.8,37.8,38.2,38.2,38.3,38.3,38.6,39.1,39.8,39.9
Central African Republic,38.3,38.2,37.8,38.0,38.1,38.6,38.7,38.4,39.2,39.9,39.0,39.5,37.7,38.9,39.0,38.8,39.1,39.3,39.5,39.6,39.7
Liberia,35.7,35.5,33.8,36.1,35.9,36.4,36.8,36.9,37.5,37.0,36.6,36.6,38.1,38.8,40.1,39.4,39.2,39.8,39.0,39.3,39.6
"Congo, Dem. Rep.",34.7,35.1,35.0,35.5,35.6,36.4,36.7,36.9,36.5,36.7,37.2,36.9,36.6,37.6,37.9,37.7,39.2,39.8,39.7,39.8,38.6
Burundi,33.1,33.7,32.5,33.1,34.0,34.6,33.6,32.9,33.9,34.2,35.1,35.4,35.3,36.3,37.0,37.1,37.5,37.8,37.3,37.6,38.1
