一级指标,二级指标,三级指标,Variables,类型,来源,two_stage_internal_weight,two_stage_global_weight,global_critic_weight,weight_difference
经济,发展质量,人均GDP增长率,GDP per capita growth (annual %)_x,正向,世界银行WDI数据库,0.09505889362948626,0.023764723407371565,0.0118752864910526,0.011889436916318965
经济,发展质量,商品出口占GDP比重,Merchandise exports (% of GDP),正向,世界银行WDI数据库,0.18866085375653088,0.04716521343913272,0.0265900425753448,0.02057517086378792
经济,发展质量,通货膨胀率,"Inflation, GDP deflator (annual %)",负向,世界银行WDI数据库,0.08222198736535585,0.020555496841338963,0.0101228255711598,0.010432671270179163
经济,产业发展,每工人农业增加值,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)_x",正向,世界银行WDI数据库,0.11873529093033418,0.029683822732583545,0.0135039931950289,0.016179829537554646
经济,产业发展,每工人工业增加值,"Industry (including construction), value added per worker (constant 2015 US$)_x",正向,世界银行WDI数据库,0.13881932208213585,0.03470483052053396,0.0199280861497537,0.014776744370780262
经济,产业发展,每工人服务业增加值,"Services, value added per worker (constant 2015 US$)_x",正向,世界银行WDI数据库,0.21018274098192932,0.05254568524548233,0.0272301901639023,0.02531549508158003
经济,外部经济联系,经常账户余额占GDP百分比,"Current account balance, percent of GDP (Percent of GDP)(IMF)",正向,世界银行WDI数据库,0.16632091125422763,0.04158022781355691,0.0225216797765371,0.019058548037019805
社会,社会公平,性别平等,Proportion of seats held by women in national parliaments (%)_x,正向,世界银行WDI数据库,0.13398679781031358,0.033496699452578396,0.035762531497912,-0.0022658320453336003
社会,社会公平,营养不良发生率,Prevalence of undernourishment (percent) (3-year average),负向,联合国粮食及农业组织FAO数据库,0.10564215735972238,0.026410539339930594,0.0290797458032439,-0.0026692064633133047
社会,人口状况,出生时预期寿命,"Life expectancy at birth, total (years)_pct_change",正向,世界银行WDI数据库,0.023168797184786653,0.005792199296196663,0.0060636070716077,-0.000271407775411037
社会,人口状况,人口增长率,Population growth (annual %),负向,世界银行WDI数据库,0.06718567645751813,0.016796419114379534,0.0195298108834451,-0.0027333917690655664
社会,教科医卫,发表科技论文数量（每百万人）,Scientific and technical journal articles per million people,正向,世界银行WDI数据库,0.06040588942632497,0.015101472356581243,0.0196843003383183,-0.004582827981737056
社会,教科医卫,艾滋病病毒感染率,"Prevalence of HIV, total (% of population ages 15-49)_x",负向,世界银行WDI数据库,0.15398171061500532,0.03849542765375133,0.0418972411503399,-0.0034018134965885724
社会,教科医卫,国内政府卫生支出（占GDP百分比）,Domestic general government health expenditure (% of GDP),正向,世界银行WDI数据库,0.10658005810805253,0.026645014527013133,0.0328791109337698,-0.006234096406756668
社会,基础设施,使用互联网的人口比例,Individuals using the Internet (% of population)_x,正向,世界银行WDI数据库,0.09354073353075695,0.02338518338268924,0.030872633105323,-0.007487449722633762
社会,基础设施,移动手机使用数,Mobile cellular subscriptions (per 100 people),正向,世界银行WDI数据库,0.13021106330379847,0.03255276582594962,0.0423030218422948,-0.009750256016345181
