GDP per capita growth (annual %)_x,Merchandise exports (% of GDP),Final consumption expenditure (% of GDP),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)_x","Industry (including construction), value added per worker (constant 2015 US$)_x","Services, value added per worker (constant 2015 US$)_x","Current account balance, percent of GDP (Percent of GDP)(IMF)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",gini,Proportion of seats held by women in national parliaments (%)_x,Prevalence of undernourishment (percent) (3-year average),"Life expectancy at birth, total (years)_pct_change",Labor force(% of total population),Population growth (annual %),Mean years schooling,Scientific and technical journal articles,"Prevalence of HIV, total (% of population ages 15-49)_x",Domestic general government health expenditure (% of GDP),"Mortality caused by road traffic injury (per 100,000 population)_x",People using at least basic drinking water services (% of population)_x,Individuals using the Internet (% of population)_x,Mobile cellular subscriptions (per 100 people),Access to electricity (% of population)_x,Agricultural land (% of land area),Arable land (% of land area),Adjusted savings: mineral depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Renewable internal freshwater resources per capita (cubic meters)_x,Energy intensity level of primary energy (MJ/$2017 PPP GDP)_x,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)_x",Adjusted savings: energy depletion (% of GNI),Energy consumption per capita (million Btu per person),"Solar, tide, wave, fuel cell electricity installed capacity (million kilowatts)_per_capita",Biomass and waste electricity net generation (million metric tons of oil equivalent)_per_capita,Forest area (% of land area)_x,Wetland area（% of land area),"Terrestrial barren land|1000 HA|ECCCT|Terrestrial Barren Land|Environment, Climate Change, Climate Indicators, Land Cover Accounts, Terrestrial Barren Land|Climate neutral(% of land area)",CO2 emissions (metric tons per capita)_x,PM2.5 exposure/Ambient particulate matter pollution,Lead exposure,Terrestrial biome protection (global weights),Species Protection Index,Alpha-3 code,CountryName_CN
0.769184668,0.7311931680236048,,106.3521255,,,,-16.01295133,64.451,51.94,15.45454545,67.8,0.011419109266467276,0.4213186460692433,3.353709414,4.374,9.58,1.4,1.80684185,25.2,38.33881575,0.136014,0.447836,20.0,35.62605278,2.406352771,0.0,1.717288645,8837.293954,3.74,56.10526171,34.14105595,6.764591993720694,0.0,0.0,61.88621882,0.5879762573193229,2.235140771637122,0.4382660530041784,22.41252535312,814.64034780762,5.11785627705784,25.23,AGO,安哥拉
9.857802363,0.4810671530123417,61.8015771,236.3457434,3053.93928,27677.81788,5152.613348,-0.86701486,64.617,,15.45454545,63.6,0.017902704541588932,0.4219356534298062,3.407476157,4.73,16.13,1.5,1.15548134,25.4,38.8353925,0.270377,0.807955,26.3,35.64450148,2.48656453,0.0,1.109429847,8541.237934,3.41,62.5228553,22.32032811,6.9540478242544115,0.0,0.0,61.44099463,0.5882489773000722,2.235509745728724,0.45108650259910443,20.0786038655139,796.84131096272,5.11785627705784,25.23,AGO,安哥拉
-0.065437987,0.46740439090987473,65.74483898,94.60726114,3178.260988,27382.48421,5259.551686,-3.537284185,64.59,,15.45454545,57.5,0.04896185821113752,0.4225524796653,3.493342778,5.086,5.89,1.5,1.28335834,25.3,40.39651572,0.370682,1.95054,27.4,35.69343066,2.646988048,0.0,1.279314055,8248.014681,3.56,63.45977209,18.76581558,7.465650719445751,0.0,0.0,60.99577043,0.5882730408277853,2.2645143177989895,0.4611723559762885,19.1936778240444,789.39646594828,5.11785627705784,25.23,AGO,安哥拉
7.486046944,0.49911145388030465,55.59435037,33.38232372,3321.176585,30707.63223,5500.659776,2.523291428,64.677,,15.0,50.6,0.018021426580110633,0.4231137646708357,3.594457524,5.441,9.73,1.6,1.4713583,25.9,41.97723679,0.464815,3.9784,28.4,35.54183043,2.646988048,0.0,0.764881538,7956.808294,3.23,69.37358697,23.98809454,7.841121969892632,0.0,0.0,60.55054624,0.5903104195074999,2.302791369214727,0.4608131722595771,19.8050041407778,790.29502078003,5.11785627705784,25.23,AGO,安哥拉
10.06735933,0.5823903125110096,49.88093202,40.13645109,3115.204003,35748.22753,5956.361472,12.41135295,64.679,,15.0,42.9,0.019697592081841853,0.42354609968783113,3.646268934,5.797,10.04,1.6,1.14204562,26.1,43.574344,1.14337,8.35159,29.4,35.4399615,2.646988048,0.0,0.564201747,7671.907357,2.64,77.72767789,33.56291691,6.193058349705884,0.0,0.0,60.10532205,0.5908077324135718,2.305654929012593,0.4393278319537119,22.179113927684,766.6945347564,5.11785627705784,25.23,AGO,安哥拉
7.795575329,0.5432227078559881,46.78940542,16.81441774,3212.792538,40145.95832,6506.729922,18.22532292,64.804,,15.0,36.0,0.016017648187224287,0.4238435547163744,3.684892016,6.153,12.57,1.6,1.28968012,24.6,45.0139996,1.5,15.2614,30.5,35.40306409,2.646988048,0.0,0.447410049,7394.351085,2.65,86.93204795,33.35753273,7.55870370581503,0.0,0.0,59.66009786,0.5913130664955483,2.3095291569744125,0.4713397567428363,16.9094675827522,758.50093402717,5.11785627705784,25.23,AGO,安哥拉
8.851635443,0.6078494515399571,47.9322929,5.174514124,3082.132314,47034.74351,6905.310413,14.48735795,64.842,,15.0,29.8,0.02331728499952801,0.42402979686610637,3.74258021,6.509,10.16,1.7,1.53876388,25.5,46.46865468,1.7,23.8782,37.5,35.48969279,2.727199807,0.0,0.461630203,7122.72616,2.55,98.23555174,39.40983355,8.569048965722477,0.0,0.0,59.21487367,0.5928451110932863,2.3136921472687897,0.5018759826534668,20.2365312998466,738.9742000563,5.11785627705784,25.23,AGO,安哥拉
6.678885924,0.6469654810311097,47.57168009,19.4273825,2968.891952,51983.44948,7686.60799,7.282331634,64.775,,37.27272727,24.4,0.019944649446494322,0.4240516844075778,3.778289766,6.865,11.85,1.7,1.91652381,25.0,47.93901798,1.9,31.3891,38.5,35.44958691,2.727199807,0.0,0.476623309,6858.629511,2.51,108.8318632,48.68183528,9.617631932886514,0.0,0.0,58.76964947,0.5934787839897329,2.319724071548889,0.5020700657663788,21.2474510491282,731.86155031072,5.11785627705784,25.23,AGO,安哥拉
-1.809060093,0.49969906797363545,58.35174747,-14.27127858,2862.389326,52264.79557,8459.474929,-9.267040561,64.6,55.0,38.63636364,19.7,0.017076391526926082,0.4239516947149097,3.801561875,7.221,13.78,1.7,2.23769045,27.3,49.42317637,2.3,36.1789,33.8,35.79850806,3.208470362,0.0,0.521896052,6602.788259,2.77,111.0037,25.70459231,10.706505843907175,0.0,0.0,58.32442528,0.5946338333199648,2.3433704981150236,0.5511371600328051,19.3223854108792,724.48964157325,5.11785627705784,25.23,AGO,安哥拉
1.315790766,0.5295304142690832,53.44519808,28.67079991,2885.043596,52725.65481,9128.369662,7.855778349,64.438,,38.63636364,16.2,0.018088039128501432,0.4238470132314795,3.851098249,7.576,14.68,1.7,1.46826649,25.8,50.92228147,2.8,40.3668,35.0,35.97497393,3.36889388,0.0,0.432163347,6353.342427,2.65,116.8798648,32.68797702,11.18806127800962,3.004959255972088e-06,0.0,57.87920109,0.5975856260527793,2.3730247854335444,0.7055088316396453,23.4368134074259,713.25481800705,5.11785627705784,25.23,AGO,安哥拉
