Indicator,SYC,NAM,GAB,BWA,MUS,ZAF,SEN,GHA,CPV,GIN,GNB,COM,STP,CIV,COG,SWZ,GNQ,DJI,GMB,TZA,KEN,BEN,ZMB,AGO,BFA,CMR,ZWE,SLE,TGO,MOZ,RWA,MWI,LSO,ETH,NGA,MLI,MDG,NER,UGA,CAF,TCD,ERI,LBR,BDI,COD
GDP per capita growth,0.023345658341560105,0.016691650664039825,-0.003636258790170932,0.1338081146781217,0.009364908763526691,0.015928632343643778,0.022892056037000674,0.019665486874345273,0.06599062855118021,0.007325534419759916,0.001586350685267801,-0.03630231416359003,-0.017581745568686857,0.10197798833894839,-0.014802645015714655,0.02839647048541316,-0.60850617006187,,-0.0020138973282097794,-0.022169185035927796,0.05540247354150024,0.024970287585752926,0.012279965546720895,-0.020691990539680905,0.01133960737087425,-0.010976787829973689,0.06494475237358999,0.16912435410722376,0.04950778185114091,-0.12184916190804662,0.010317650418096791,0.10134517087847322,-0.029098366091444006,-0.0245352091503121,-0.04516304399441301,-0.13748677153680278,-0.00793631670558731,-0.06031705065283749,-0.0195054127522733,-0.03193625945146161,-0.12276838045432459,-0.05470441411599247,0.03165059055340225,0.010351033930927844,0.09094859178530401
Merchandise exports,-0.011066637585782496,0.019189108112647568,-0.06946135203009346,-0.047755811174098606,-0.1392820975481823,0.06096800228327348,0.02710024653403799,-0.10689518117304059,0.007403091308136024,0.3282178276535418,0.0035244749619559035,-0.01466333042864644,0.00042437843408768897,-0.018704055639402306,-0.17713337985994815,-0.21053982983703562,-0.6776692370345141,0.8329688221837175,0.002555910516875694,0.021520432605580828,-0.06867423903293322,0.0806783220934791,0.1998416013370639,-0.23133780441693974,0.14453334955370162,-0.049518000205953164,-0.02470192305092421,0.06212759482957238,-0.014236218795540309,0.17734127982972728,0.0732834244555542,-0.07503499937549248,0.03767848330356427,-0.01479101166496457,-0.1307334034121834,0.027517646974187904,0.015120041479285196,-0.023155101012187512,0.016004465017666912,-0.07194500948439997,0.03898954031751588,0.07587717215634268,0.08503051765551312,0.002301855148780379,0.18962648983384683
Inflation,0.005813788975026046,0.016501606181997586,-0.03442117442955894,-0.00011727384901694116,0.005570365255126997,0.0023756058677794067,0.009467440120867199,0.03875944325693459,0.006494255080446987,-0.017464860648801928,0.0019304950215206507,0.010637738971130961,0.0034475137058557204,0.005027290000967577,-0.019317038050583824,0.014007666984716227,-0.010183304221153655,,-0.009517026824100494,0.003654911737556943,-0.004706095406730171,0.000599964087833027,0.0003216565467946131,0.12065211873426374,0.006568074539340718,-0.0007708261281200723,-0.185406419490875,0.274058215304431,-0.005001024157442302,0.017460823476299736,-0.004356588588596444,0.029812999798747963,0.014248652621105418,-0.02731873190333911,-0.004369572650162357,0.0007834535976036783,0.002811319603408191,0.0032320380559407447,0.003394984409715529,-0.0047098507777624254,0.008983721877619866,0.025724394517621985,-0.00790869179216247,0.006159903465060124,0.07725262335029748
Agriculture value added per worker,,-0.0172958690994425,0.06782616545043582,-0.06509556879000167,0.23561112098036002,0.16674573060142123,0.02738213714437042,0.062328362430266196,0.06379869838719529,0.022336550578314626,0.004097954550017269,0.033921514540347045,-0.02304338135921688,0.01390782688928887,0.00850527822035426,0.05175775838389032,-0.0032947626868707006,,-0.02726912699280481,0.005861288361375939,0.0016999291731454418,0.008571049578350417,-0.005789307568758092,-0.02397988157275517,0.003538030160559367,0.016267018791608915,-0.01843850054421093,0.03674310264297124,0.00798631049852136,0.0057363838568822555,0.015588488809087715,0.003140256521914165,0.0024395867509049525,0.012843976486833716,0.05716695457773076,0.0006401238316538216,-0.003107759835588961,0.004528450013992558,-0.0076017115820092886,-0.01574912981741384,0.013766911558386063,,0.00613243625310041,-0.005224014197284895,0.000683763263786229
Industry value added per worker,,-0.012436485628694247,-0.4194186625972738,0.012786734781142589,0.036514971088268657,0.016933281103854017,-0.007225379841100148,0.032306649948829216,7.990051779989404e-06,-0.012660275793723502,0.0005188731982461682,-0.007375246226849516,0.0032296704132705398,0.020485680705095207,-0.00697957831677784,0.06477439989529818,-0.7430675757962824,,0.0031831176606212,0.01588617867138889,0.004326221684956992,0.0007113407518012571,-0.011359196187223752,0.013602242942979181,0.0018632683107887233,-7.239483097233948e-05,-0.004257291417841359,0.003424536720108,-0.0068933921924211146,0.001985812229011792,0.0013278821905690283,0.006801262790143525,-0.002772034323897197,0.020439693863395777,-0.025493527883235508,0.012578227749529498,-0.0019437662023949675,0.000910104543900679,0.02140799795606164,-0.0009723251824171513,-0.0457070644455604,,0.007982889681684313,-0.00677420692661809,0.01633391329408287
Services value added per worker,,0.07822173097467239,0.04103870414735533,0.2581827953535785,0.20355778869502567,0.1663850023083251,0.010411552675177294,0.026932596215655233,0.0535439131713315,0.00546173382673118,0.012724579177494894,-0.1790316095613218,0.0759113908810683,0.03293672340011672,-0.02317090960280241,0.14245385788398787,-0.0340130876891489,,-0.001786658451560369,0.026261281180340636,0.07703606011902689,0.019059127088399047,-0.022367157016925487,0.1717306120255996,0.008029390310271403,-0.0055869397131246,0.05853475034893951,-0.007849781738273887,0.01684400828108322,0.03536282919005602,0.06890353967024392,0.0370877139329522,0.07915638108876127,0.048433745509336545,0.08467164228561945,-0.031757030545452994,-0.054247396647390284,0.019237888732086567,0.01075927995759246,0.012468254652847219,-0.04256302216741531,,0.01831015510526477,-0.0533813758169574,0.017568873285765202
Current account balance,0.13804081884793457,-0.003432618906061946,-0.03493376820416383,-0.14093504608627705,-0.20996037429097136,0.0393426063531761,-0.09295023872537722,0.058378795415799045,-0.025884455028821418,0.3199217598333224,0.02188570689905056,0.053492453436797316,0.19413415372703607,-0.09309900399480753,0.14075276173702567,0.022447318960704732,,-0.2086250813452898,-0.024212152284891042,0.008891543535113455,-0.023840741813142774,-0.023565072408781917,0.33425710241027207,0.29702356339698355,0.12174355826862415,-0.009085682426279718,0.3291828784967466,-0.016477958887299526,0.05583032160519419,-0.1531080647277736,-0.0742847228824175,-0.14635558766546908,-0.12953295867681114,0.004513838089384881,-0.04362695097930824,0.012732020293570678,-0.027431333506313327,-0.11517078847113249,-0.04093987843296909,,,,0.30832588693314605,-0.07986655135446774,0.019229138559617054
Women in parliament,-0.010265982443955102,0.29366632801090875,0.10736054913906651,-0.09547279775932371,0.21815212939262138,0.255901216528159,0.4025898387246198,0.08468269029558148,0.42418469606665926,0.21102581200889178,0.08982734745355289,0.281006940275434,0.22211853179491348,0.0863257270460773,-0.011326574069390888,0.09944426888707478,0.2748716830292055,0.3993862060520781,0.10047893643257441,0.2228429993467445,0.2755192238923372,0.03679674471278009,0.0753401702701805,0.2151773277626971,-0.027623008514315192,0.4326683899635594,0.3336919608507977,0.05465009674688798,0.2098652488586028,0.1893560483090082,0.5432430221369553,0.20753181312999222,0.2983253380769127,0.5330982107203921,0.002936663275527898,0.2294847074841848,0.1508861482697252,0.37716663337471357,0.13960270095657562,0.08425875827958512,0.4559520248115004,0.12554080956036828,0.04804763295587272,0.3635117299595917,0.05863119596319982
Undernourishment prevalence,0.003401360544217691,-0.04608294930875578,-0.1643625192012289,0.07987711213517668,-0.027649769585253448,-0.08909370199692779,0.24423963133640558,0.14132104454685102,0.06298003072196623,0.11674347158218124,-0.05990783410138245,0.13978494623655902,-0.007680491551459223,0.1413210445468509,-0.01382488479262678,-0.027649769585253337,,0.43932411674347166,-0.030721966205837115,0.15975422427035324,0.003072196620583778,0.027649769585253448,0.2242703533026113,0.6943164362519202,0.12442396313364057,0.2872503840245776,0.12288786482334868,0.3640552995391706,0.2319508448540707,0.2089093701996928,0.10138248847926268,0.043010752688172116,,0.391705069124424,-0.13671274961597546,0.10599078341013823,-0.09984639016897079,0.17972350230414758,-0.06758832565284179,0.10291858678955451,0.0660522273425499,,-0.043010752688172116,,-0.1505376344086023
Life expectancy growth,-0.019379230325000302,-0.011036050275922027,-0.0009640132468131946,-0.021759071895497806,-0.002800531626959507,-0.009481978507161398,-0.006453637523408801,-0.0016879317950246053,-0.00015581579526210976,-0.0015032612341519813,-0.001590993798819107,-0.006685032306976396,-0.001411285521852823,0.0006247802255198165,-0.004263628137321479,-0.00012322706901421454,-0.0010910708969295024,-0.006674761509332022,-0.005379884856175909,-0.008997962315974606,-0.004637521193043809,-0.0034815324983313023,-0.011575351579245108,-0.004797421891648307,-0.004902737797655987,-0.004629707282263806,0.003483122217544099,-0.0014518185435370146,8.867835615650188e-05,-0.011751091646472006,-0.012727952863562486,-0.010017676879284038,0.005738603069939702,-0.0070490491485283024,-0.0004808586597481179,-0.0032219764962488906,-0.005204702306486286,-0.006907628773012625,-0.006289808904996086,-0.07118765147240258,-0.002301914697875579,-0.012903005125411315,-0.008921434874760797,-0.009032373841385388,-0.004301546353815716
