Alpha-3 code,CountryName_CN,Numeric,Year,SDI_TwoStage,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage_avail,SDI_Economy_TwoStage_avail,SDI_Society_TwoStage_avail,SDI_Resource_TwoStage_avail,SDI_Ecology_TwoStage_avail,coverage_rate,diff,abs_diff
AGO,安哥拉,24,2001,0.3918135102743957,0.3491853234152681,0.2792617066040633,0.4995912220679936,0.4392157890102576,0.3918135102743957,0.34918532341526803,0.2792617066040634,0.4995912220679936,0.4392157890102576,1.0,0.0,0.0
BWA,博茨瓦纳,72,2001,0.458650809093394,0.4108968758068333,0.2905007410845059,0.5124478399718841,0.6207577795103529,0.4586508090933941,0.4108968758068333,0.2905007410845059,0.512447839971884,0.6207577795103532,1.0,1.1102230246251565e-16,1.1102230246251565e-16
BDI,布隆迪,108,2001,0.3239328789731965,0.2551504277033051,0.2538790552489531,0.4435107267152856,0.3431913062252421,0.3314299706925943,0.2551504277033051,0.2838674221265443,0.4435107267152855,0.34319130622524213,0.9705882352941176,0.007497091719397775,0.007497091719397775
CMR,喀麦隆,120,2001,0.3797655116165375,0.2835098835253072,0.3289810949337425,0.5265988109522832,0.3799722570548169,0.3797655116165375,0.28350988352530715,0.3289810949337426,0.5265988109522831,0.37997225705481685,1.0,0.0,0.0
CPV,佛得角,132,2001,0.3972464907447895,0.2774226722560486,0.4374030144302114,0.5284040575785024,0.3457562187143955,0.39724649074478946,0.2774226722560486,0.4374030144302115,0.5284040575785023,0.3457562187143955,1.0,-5.551115123125783e-17,5.551115123125783e-17
CAF,中非,140,2001,0.3750370003337923,0.1569341046467462,0.2715078467450688,0.5493965111891428,0.5223095387542116,0.3828641797737198,0.1882428224064556,0.27150784674506884,0.5493965111891428,0.5223095387542117,0.9705882352941176,0.0078271794399275,0.0078271794399275
TCD,乍得,148,2001,0.3457985344278307,0.1866341668426945,0.2767305254880382,0.4948852215628215,0.4249442238177684,0.3551070216861444,0.22386811587594946,0.2767305254880382,0.49488522156282144,0.4249442238177684,0.9705882352941176,0.00930848725831368,0.00930848725831368
COM,科摩罗,174,2001,0.3876413422050744,0.302359238074431,0.3341421506242799,0.5390043596904759,0.3750596204311108,0.3876413422050744,0.3023592380744309,0.3341421506242799,0.5390043596904759,0.37505962043111085,1.0,0.0,0.0
COG,刚果（布）,178,2001,0.4205443920886048,0.3795212245481799,0.3227860592342525,0.5575689140856482,0.4223013704863383,0.4205443920886047,0.3795212245481799,0.3227860592342526,0.5575689140856481,0.4223013704863384,1.0,-5.551115123125783e-17,5.551115123125783e-17
COD,刚果（金）,180,2001,0.3471968152574345,0.235779098938051,0.2889914058186167,0.4285566208787116,0.4354601353943585,0.34719681525743445,0.235779098938051,0.2889914058186168,0.4285566208787115,0.4354601353943586,1.0,-5.551115123125783e-17,5.551115123125783e-17
BEN,贝宁,204,2001,0.4316252355601996,0.2631254853966797,0.3434711195934941,0.5226448584434986,0.5972594788071262,0.4316252355601996,0.2631254853966797,0.3434711195934941,0.5226448584434985,0.5972594788071263,1.0,0.0,0.0
GNQ,赤道几内亚,226,2001,0.4689840945198088,0.6524277968797749,0.1159947537359908,0.504346062636823,0.6031677648266464,0.5116931291369206,0.7825886551398562,0.15667003394435663,0.504346062636823,0.6031677648266465,0.9117647058823528,0.04270903461711173,0.04270903461711173
ETH,埃塞俄比亚,231,2001,0.3424524920761682,0.2408654947086541,0.2872071926217971,0.3947384896976179,0.4469987912766038,0.34245249207616824,0.24086549470865404,0.2872071926217973,0.39473848969761777,0.4469987912766039,1.0,5.551115123125783e-17,5.551115123125783e-17
ERI,厄立特里亚,232,2001,0.3051023154539918,0.1278189122094867,0.288547622469266,0.4975351427157938,0.3065075844214206,0.3689903491368884,0.3492876052968624,0.3226310641134767,0.4975351427157938,0.3065075844214206,0.8529411764705882,0.06388803368289658,0.06388803368289658
DJI,吉布提,262,2001,0.291117722858223,0.1412321619762285,0.312196227014333,0.5172596135700487,0.1937828888722818,0.3692708798323653,0.3978575124047517,0.31219622701433314,0.5732468910380946,0.1937828888722818,0.8235294117647058,0.07815315697414227,0.07815315697414227
