Alpha-3 code,CountryName_CN,Numeric,Year,SDI_Economy,SDI_Society,SDI_Resource,SDI_Ecology,SDI,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage,SDI_Economy_Equal,SDI_Society_Equal,SDI_Resource_Equal,SDI_Ecology_Equal,SDI_Equal,SDI_Average
AGO,安哥拉,24,2001,0.352061782498473,0.2651053679790753,0.5001035366250627,0.4307810913586525,0.3860822289012725,0.3491853234152681,0.2792617066040633,0.4995912220679936,0.4392157890102576,0.3918135102743957,0.3743554840419368,0.2397576769158648,0.4966638033772713,0.4684711703358533,0.3948120336677316,0.3892884926627787
BWA,博茨瓦纳,72,2001,0.410457235081697,0.285807554531769,0.5155723252046308,0.6195842788869728,0.4718623267565704,0.4108968758068333,0.2905007410845059,0.5124478399718841,0.6207577795103529,0.458650809093394,0.4369176668422681,0.2977041494375642,0.5194084898052977,0.6050194342898731,0.4647624350937508,0.4573616777893585
BDI,布隆迪,108,2001,0.2508088650310225,0.2405491751405467,0.4430914935942944,0.3364488073627645,0.3192192990431159,0.2551504277033051,0.2538790552489531,0.4435107267152856,0.3431913062252421,0.3239328789731965,0.3100811520401678,0.2252235447509608,0.4565609500068301,0.3770900757594884,0.3422389306393618,0.3396639019978872
CMR,喀麦隆,120,2001,0.2800152183849453,0.313130282000594,0.5278893133591026,0.3691749037387543,0.3741308487834888,0.2835098835253072,0.3289810949337425,0.5265988109522832,0.3799722570548169,0.3797655116165375,0.3353774178882478,0.297081834203655,0.530834050719766,0.4140520225819054,0.3943363313483935,0.3943642030702182
CPV,佛得角,132,2001,0.2711637368141677,0.4192940553727572,0.5306050135479143,0.323349982107164,0.3881428443522506,0.2774226722560486,0.4374030144302114,0.5284040575785024,0.3457562187143955,0.3972464907447895,0.3281319222070645,0.3903365724268891,0.5339666265167382,0.3799419700802836,0.4080942728077438,0.4131036640885663
CAF,中非,140,2001,0.1504005599973338,0.2576561444490375,0.5509016851657665,0.5157104924302789,0.3988704872797481,0.1569341046467462,0.2715078467450688,0.5493965111891428,0.5223095387542116,0.3750370003337923,0.2310859791399683,0.2518296906636052,0.5528403661516896,0.5302634525448711,0.3915048721250336,0.3927520493041178
TCD,乍得,148,2001,0.1800579240680449,0.2617190339211033,0.4954223203305883,0.4072151122142143,0.3528582089998014,0.1866341668426945,0.2767305254880382,0.4948852215628215,0.4249442238177684,0.3457985344278307,0.2566827264739881,0.2468510631150197,0.5031651994477027,0.4363522749687327,0.3607628160013608,0.3613116091543323
COM,科摩罗,174,2001,0.2960741991171701,0.31692449727105,0.5410326925638678,0.3566794803704264,0.3755672355828975,0.302359238074431,0.3341421506242799,0.5390043596904759,0.3750596204311108,0.3876413422050744,0.3497237237309208,0.2985933614803017,0.5440733334643978,0.4130966251460554,0.4013717609554189,0.4010421377431613
COG,刚果（布）,178,2001,0.3823715455496451,0.3057540026952227,0.559398944931177,0.4152991836090671,0.4088345778410244,0.3795212245481799,0.3227860592342525,0.5575689140856482,0.4223013704863383,0.4205443920886048,0.406478079852948,0.2836143907954088,0.5446430146119315,0.4506613162694242,0.4213492003824282,0.4173108273113971
COD,刚果（金）,180,2001,0.2333697332310703,0.2706981726567643,0.4274315336504495,0.4313357751691914,0.3570792550852857,0.235779098938051,0.2889914058186167,0.4285566208787116,0.4354601353943585,0.3471968152574345,0.2847982526215999,0.2554499909798358,0.4454505288801063,0.4622515614902016,0.3619875834929359,0.3604457332350625
