Numeric,Year,available_indicators,total_indicators,coverage_rate,meets_80pct_coverage,Alpha-3 code,CountryName_CN
24,2001,34,34,1.0,True,AGO,安哥拉
24,2002,34,34,1.0,True,AGO,安哥拉
24,2003,34,34,1.0,True,AGO,安哥拉
24,2004,34,34,1.0,True,AGO,安哥拉
24,2005,34,34,1.0,True,AGO,安哥拉
24,2006,34,34,1.0,True,AGO,安哥拉
24,2007,34,34,1.0,True,AGO,安哥拉
24,2008,34,34,1.0,True,AGO,安哥拉
24,2009,34,34,1.0,True,AGO,安哥拉
24,2010,34,34,1.0,True,AGO,安哥拉
24,2011,34,34,1.0,True,AGO,安哥拉
24,2012,34,34,1.0,True,AGO,安哥拉
24,2013,34,34,1.0,True,AGO,安哥拉
24,2014,34,34,1.0,True,AGO,安哥拉
24,2015,34,34,1.0,True,AGO,安哥拉
24,2016,34,34,1.0,True,AGO,安哥拉
24,2017,34,34,1.0,True,AGO,安哥拉
24,2018,34,34,1.0,True,AGO,安哥拉
24,2019,34,34,1.0,True,AGO,安哥拉
24,2020,34,34,1.0,True,AGO,安哥拉
24,2021,34,34,1.0,True,AGO,安哥拉
72,2001,34,34,1.0,True,BWA,博茨瓦纳
72,2002,34,34,1.0,True,BWA,博茨瓦纳
72,2003,34,34,1.0,True,BWA,博茨瓦纳
72,2004,34,34,1.0,True,BWA,博茨瓦纳
72,2005,34,34,1.0,True,BWA,博茨瓦纳
72,2006,34,34,1.0,True,BWA,博茨瓦纳
72,2007,34,34,1.0,True,BWA,博茨瓦纳
72,2008,34,34,1.0,True,BWA,博茨瓦纳
72,2009,34,34,1.0,True,BWA,博茨瓦纳
72,2010,34,34,1.0,True,BWA,博茨瓦纳
72,2011,34,34,1.0,True,BWA,博茨瓦纳
72,2012,34,34,1.0,True,BWA,博茨瓦纳
72,2013,34,34,1.0,True,BWA,博茨瓦纳
72,2014,34,34,1.0,True,BWA,博茨瓦纳
72,2015,34,34,1.0,True,BWA,博茨瓦纳
72,2016,34,34,1.0,True,BWA,博茨瓦纳
72,2017,34,34,1.0,True,BWA,博茨瓦纳
72,2018,34,34,1.0,True,BWA,博茨瓦纳
72,2019,34,34,1.0,True,BWA,博茨瓦纳
72,2020,34,34,1.0,True,BWA,博茨瓦纳
72,2021,34,34,1.0,True,BWA,博茨瓦纳
108,2001,33,34,0.9705882352941176,True,BDI,布隆迪
108,2002,33,34,0.9705882352941176,True,BDI,布隆迪
108,2003,33,34,0.9705882352941176,True,BDI,布隆迪
108,2004,33,34,0.9705882352941176,True,BDI,布隆迪
108,2005,33,34,0.9705882352941176,True,BDI,布隆迪
108,2006,33,34,0.9705882352941176,True,BDI,布隆迪
