Alpha-3 code,Country,CountryName_CN,Numeric,score_2001,score_2021,Region,raw_2001,raw_2021,score_change_observed,score_change_for_index,raw_change,sustainability_status_observed,endpoint_data_status,raw_status,sustainability_direction_note,weighted_global_contribution_to_sdi_change,weighted_internal_contribution_to_subsystem_change,一级指标,二级指标,三级指标,Variables,类型,来源,two_stage_internal_weight,two_stage_global_weight,dimension_en,subdimension_en,indicator_en,direction_en
AGO,Angola,安哥拉,24,0.3007291355576175,0.5472221152735574,S,20.0,48.2,0.24649297971593986,0.24649297971593986,28.200000000000003,Improved,Observed both endpoints,Increased,Positive indicator: raw increase is improvement,0.007721214880717378,0.03088485952286956,社会,基础设施,通电率,Access to electricity (% of population)_x,正向,世界银行WDI数据库,0.125297116203721,0.0313242790509302,Social,Infrastructure,Access to electricity (% of population),Positive
BDI,Burundi,布隆迪,108,0.1503858997025053,0.2150684546634256,E,2.8,10.2,0.06468255496092032,0.06468255496092032,7.3999999999999995,Improved,Observed both endpoints,Increased,Positive indicator: raw increase is improvement,0.0020261344013229976,0.008104537605292002,社会,基础设施,通电率,Access to electricity (% of population)_x,正向,世界银行WDI数据库,0.125297116203721,0.0313242790509302,Social,Infrastructure,Access to electricity (% of population),Positive
BEN,Benin,贝宁,204,0.3173368185881241,0.4930286232792727,W,21.9,42.0,0.1756918046911486,0.1756918046911486,20.1,Improved,Observed both endpoints,Increased,Positive indicator: raw increase is improvement,0.005503419117107066,0.0220136764684283,社会,基础设施,通电率,Access to electricity (% of population)_x,正向,世界银行WDI数据库,0.125297116203721,0.0313242790509302,Social,Infrastructure,Access to electricity (% of population),Positive
BFA,Burkina Faso,布基纳法索,854,0.2089498345995548,0.2919882497520877,W,9.5,19.0,0.08303841515253291,0.08303841515253291,9.5,Improved,Observed both endpoints,Increased,Positive indicator: raw increase is improvement,0.0026011184881849316,0.010404473952739742,社会,基础设施,通电率,Access to electricity (% of population)_x,正向,世界银行WDI数据库,0.125297116203721,0.0313242790509302,Social,Infrastructure,Access to electricity (% of population),Positive
BWA,Botswana,博茨瓦纳,72,0.3426853874241604,0.7701147033145668,S,24.8,73.7,0.4274293158904064,0.4274293158904064,48.900000000000006,Improved,Observed both endpoints,Increased,Positive indicator: raw increase is improvement,0.013388915165499284,0.05355566066199722,社会,基础设施,通电率,Access to electricity (% of population)_x,正向,世界银行WDI数据库,0.125297116203721,0.0313242790509302,Social,Infrastructure,Access to electricity (% of population),Positive
CAF,Central African Republic,中非,140,0.1757344685385416,0.2631433265938394,C,5.7,15.7,0.08740885805529777,0.08740885805529777,10.0,Improved,Observed both endpoints,Increased,Positive indicator: raw increase is improvement,0.0027380194612472955,0.0109520778449892,社会,基础设施,通电率,Access to electricity (% of population)_x,正向,世界银行WDI数据库,0.125297116203721,0.0313242790509302,Social,Infrastructure,Access to electricity (% of population),Positive
CIV,Côte d'Ivoire,科特迪瓦,384,0.5603334439818519,0.7473884002201893,W,49.7,71.1,0.18705495623833734,0.18705495623833734,21.39999999999999,Improved,Observed both endpoints,Increased,Positive indicator: raw increase is improvement,0.005859361647069216,0.0234374465882769,社会,基础设施,通电率,Access to electricity (% of population)_x,正向,世界银行WDI数据库,0.125297116203721,0.0313242790509302,Social,Infrastructure,Access to electricity (% of population),Positive
CMR,Cameroon,喀麦隆,120,0.5297403436624978,0.6975653511286696,C,46.2,65.4,0.1678250074661718,0.1678250074661718,19.200000000000003,Improved,Observed both endpoints,Increased,Positive indicator: raw increase is improvement,0.00525699736559481,0.02102798946237927,社会,基础设施,通电率,Access to electricity (% of population)_x,正向,世界银行WDI数据库,0.125297116203721,0.0313242790509302,Social,Infrastructure,Access to electricity (% of population),Positive
COD,"Congo, Dem. Rep.",刚果（金）,180,0.1879717086662833,0.3077218442020413,C,7.1,20.8,0.119750135535758,0.119750135535758,13.700000000000001,Improved,Observed both endpoints,Increased,Positive indicator: raw increase is improvement,0.0037510866619087967,0.01500434664763521,社会,基础设施,通电率,Access to electricity (% of population)_x,正向,世界银行WDI数据库,0.125297116203721,0.0313242790509302,Social,Infrastructure,Access to electricity (% of population),Positive
COG,"Congo, Rep.",刚果（布）,178,0.3907602593545743,0.5603334439818519,C,30.3,49.7,0.1695731846272776,0.1695731846272776,19.400000000000002,Improved,Observed both endpoints,Increased,Positive indicator: raw increase is improvement,0.005311757754819751,0.021247031019279036,社会,基础设施,通电率,Access to electricity (% of population)_x,正向,世界银行WDI数据库,0.125297116203721,0.0313242790509302,Social,Infrastructure,Access to electricity (% of population),Positive
