dimension_cn,dimension_en,subdimension_cn,subdimension_en,indicator_cn,indicator_en,Variables,direction_cn,direction_en,two_stage_internal_weight,two_stage_global_weight,raw_mean_2001,raw_mean_2021,raw_mean_change_observed,score_mean_2001,score_mean_2021,score_mean_change_observed,score_mean_change_for_index,observed_both_countries,missing_2001_only_countries,missing_2021_only_countries,missing_both_countries,countries_improved_observed,countries_deteriorated_observed,countries_unchanged_observed,pct_observed_countries_improved,raw_increased_observed_countries,raw_decreased_observed_countries,mean_global_contribution_to_sdi,mean_internal_contribution_to_subsystem
社会,Social,基础设施,Infrastructure,通电率,Access to electricity (% of population),Access to electricity (% of population)_x,正向,Positive,0.125297116203721,0.0313242790509302,28.138628376496772,54.03999999999999,25.901371623503227,0.37186795681022,0.5982688883778512,0.22640093156763122,0.22640093156763122,45,0,0,0,45,0,0,1.0,45,0,0.007091845957815034,0.028367383831260178
资源,Resource,能源生产和消费,Energy production and consumption,能源损耗占GNI比,Energy depletion (% of GNI),Adjusted savings: energy depletion (% of GNI),负向,Negative,0.0905104963374614,0.0226276240843653,4.28987416847189,2.145401840222222,-2.1444723282496674,0.9502517456867527,0.9751204832216553,0.024868737534902454,0.024868737534902454,45,0,0,0,12,12,21,0.26666666666666666,12,12,0.0005627204443925179,0.002250881777570077
资源,Resource,自然资源,Natural resources,矿石资源损耗占GNI比,Mineral depletion (% of GNI),Adjusted savings: mineral depletion (% of GNI),负向,Negative,0.0913641547961206,0.0228410386990301,0.1575042926222222,2.5307847220353517,2.3732804294131293,0.9930493478982712,0.8883166683626229,-0.10473267953564833,-0.10473267953564833,45,0,0,0,9,22,14,0.2,22,9,-0.0023922031863268605,-0.009568812745307468
资源,Resource,自然资源,Natural resources,森林资源损耗占GNI比,Net forest depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),负向,Negative,0.1158508357895279,0.0289627089473819,4.9008708929111116,2.9287067789899,-1.9721641139212116,0.8064021383084946,0.8481946001679811,0.04179246185948664,0.04179246185948664,45,0,0,0,29,8,8,0.6444444444444445,8,29,0.0012104229090308704,0.004841691636123493
经济,Economic,产业发展,Industrial development,每工人农业增加值,"Agriculture, forestry, and fishing value added per worker","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)_x",正向,Positive,0.1187352909303341,0.0296838227325835,1835.6671112078905,3389.348048748837,736.789659177824,0.039907200911717844,0.07734517038467752,0.017753908220016882,0.01775390822001688,42,1,0,2,30,12,0,0.7142857142857143,30,12,0.0005270038644135381,0.002108015457654154
资源,Resource,能源生产和消费,Energy production and consumption,人均生物质和废弃物发电净发电量,Biomass and waste electricity net generation per capita,Biomass and waste electricity net generation (million metric tons of oil equivalent)_per_capita,正向,Positive,0.1462779728743016,0.0365694932185754,1.733413159760401e-05,1.014513710770376e-05,-7.1889944899002435e-06,0.04204190504832461,0.024605841289636356,-0.017436063758688242,-0.017436063758688242,45,0,0,0,21,8,16,0.4666666666666667,21,8,-0.0006376280153819982,-0.0025505120615279928
生态,Ecological,环境污染,Environmental pollution,人均二氧化碳排放,CO2 emissions per capita,CO2 emissions (metric tons per capita)_x,负向,Negative,0.0839425659762537,0.0209856414940634,0.7826186258011313,0.9270939122620878,0.1444752864609567,0.9460713309765251,0.935872391621221,-0.010198939355303709,-0.010198939355303709,45,0,0,0,11,34,0,0.24444444444444444,34,11,-0.00021403128493009772,-0.000856125139720392
经济,Economic,外部经济联系,External economic linkages,经常账户余额占GDP百分比,Current account balance (% of GDP),"Current account balance, percent of GDP (Percent of GDP)(IMF)",正向,Positive,0.1663209112542276,0.0415802278135569,-5.253531584882482,-3.589207176338746,1.664324408543735,0.6119469241935118,0.6305519777471865,0.018605053553674922,0.018605053553674925,41,0,0,4,19,22,0,0.4634146341463415,19,22,0.0007736023652452296,0.0030944094609809186
社会,Social,教科医卫,"Health, science and education",国内政府卫生支出（占GDP百分比）,Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),正向,Positive,0.1065800581080525,0.0266450145270131,1.5594330166311845,1.9519149559999998,0.3924819393688156,0.2188153311724324,0.27783441303975537,0.05901908186732297,0.05901908186732297,45,0,0,0,29,16,0,0.6444444444444445,29,16,0.0015725642937257957,0.00629025717490319
资源,Resource,能源生产和消费,Energy production and consumption,人均能源消耗,Energy consumption per capita,Energy consumption per capita (million Btu per person),负向,Negative,0.123105858502581,0.0307764646256452,12.350307308388558,13.343539605213842,0.9932322968252852,0.9366618520538332,0.9314205622099837,-0.0052412898438492905,-0.0052412898438492905,45,0,0,0,11,34,0,0.24444444444444444,34,11,-0.00016130837147198109,-0.0006452334858879258
资源,Resource,资源利用效率,Resource-use efficiency,一次能源的能源强度,Energy intensity of primary energy,Energy intensity level of primary energy (MJ/$2021 PPP GDP),负向,Negative,0.1328576561976755,0.0332144140494188,7.600222222222222,5.997999999999999,-1.602222222222222,0.7247238199580023,0.7905505341002462,0.06582671414224414,0.06582671414224414,45,0,0,0,34,11,0,0.7555555555555555,11,34,0.0021863957390332285,0.008745582956132935
