Alpha-3 code,CountryName_CN,Numeric,Year,SDI_Economy,SDI_Society,SDI_Resource,SDI_Ecology,SDI,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage,SDI_Economy_Equal,SDI_Society_Equal,SDI_Resource_Equal,SDI_Ecology_Equal,SDI_Equal,SDI_Average,GDP per capita growth (annual %)_x,Merchandise exports (% of GDP),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)_x","Industry (including construction), value added per worker (constant 2015 US$)_x","Services, value added per worker (constant 2015 US$)_x","Current account balance, percent of GDP (Percent of GDP)(IMF)",Proportion of seats held by women in national parliaments (%)_x,Prevalence of undernourishment (percent) (3-year average),"Life expectancy at birth, total (years)_pct_change",Population growth (annual %),Scientific and technical journal articles per million people,"Prevalence of HIV, total (% of population ages 15-49)_x",Domestic general government health expenditure (% of GDP),Individuals using the Internet (% of population)_x,Mobile cellular subscriptions (per 100 people),Access to electricity (% of population)_x,Adjusted savings: mineral depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Renewable internal freshwater resources per capita (cubic meters)_x,Energy intensity level of primary energy (MJ/$2021 PPP GDP),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)_x",Adjusted savings: energy depletion (% of GNI),Energy consumption per capita (million Btu per person),"Solar, tide, wave, fuel cell electricity installed capacity (million kilowatts)_per_capita",Biomass and waste electricity net generation (million metric tons of oil equivalent)_per_capita,Forest area (% of land area)_x,Wetland area(% of land area),Grassland area(% of land area),"Terrestrial barren land|1000 HA|ECCCT|Terrestrial Barren Land|Environment, Climate Change, Climate Indicators, Land Cover Accounts, Terrestrial Barren Land|Climate neutral(% of land area)",CO2 emissions (metric tons per capita)_x,PM2.5 exposure/Ambient particulate matter pollution,Terrestrial biome protection (global weights),Species Protection Index,Region
AGO,安哥拉,24,2001,0.3520617824984728,0.26510536797907547,0.5001035366250624,0.4307810913586525,0.38608222890127253,0.34918532341526803,0.2792617066040634,0.4995912220679936,0.4392157890102576,0.3918135102743957,0.37435548404193686,0.23975767691586486,0.49666380337727134,0.46847117033585334,0.3948120336677316,0.3892884926627787,0.769184668,0.7311931680236048,106.3521255,3314.5883648157906,37211.25018115784,5146.939598352648,-16.01295133,15.45454545,67.8,0.0114191092664672,3.353709414,0.5720356491661177,1.4,1.80684185,0.136014,0.447836,20.0,0.0,1.717288645,8837.293954,3.74,56.10526171,34.14105595,6.764591993720694,0.0,0.0,61.88621882,0.5879762573193229,14.275366968797623,2.235140771637122,0.4382660530041784,22.41252535312,5.11785627705784,25.23,S
AGO,安哥拉,24,2002,0.32871947256061146,0.2671013737378742,0.5168844060227924,0.4379797904007623,0.38972877194676925,0.327185582340466,0.2821449208759774,0.5156905649502532,0.44713944974923664,0.3930401294789833,0.34836799765326826,0.24168202402190248,0.5153961882950645,0.4758789307970291,0.39533128519181604,0.39120568720069754,9.857802363,0.4810671530123417,236.3457434,3053.93928,27677.81788,5152.613348,-0.86701486,15.45454545,63.6,0.0179027045415889,3.407476157,0.9308795126231127,1.5,1.15548134,0.270377,0.807955,26.3,0.0,1.109429847,8541.237934,3.41,62.5228553,22.32032811,6.9540478242544115,0.0,0.0,61.44099463,0.5882489773000722,14.253717815031685,2.235509745728724,0.4510865025991044,20.0786038655139,5.11785627705784,25.23,S
AGO,安哥拉,24,2003,0.3309510408175324,0.28021001739841916,0.5190354894744447,0.4401420626557503,0.39512460762580176,0.3305272589844812,0.2957522018501367,0.5176739511060363,0.4495860701780125,0.3983848705296667,0.3621512353641724,0.25463181995160467,0.5184679367071539,0.4781194613420497,0.40334261334124516,0.3991924696519422,-0.065437987,0.4674043909098747,94.60726114,3178.260988,27382.48421,5259.551686,-3.537284185,15.45454545,57.5,0.0489618582111375,3.493342778,0.3282486923552941,1.5,1.28335834,0.370682,1.95054,27.4,0.0,1.279314055,8248.014681,3.56,63.45977209,18.76581558,7.465650719445751,0.0,0.0,60.99577043,0.5882730408277853,14.205695034892116,2.2645143177989895,0.4611723559762885,19.1936778240444,5.11785627705784,25.23,S
AGO,安哥拉,24,2004,0.366492633833866,0.29445125033667235,0.516725633455501,0.43712561725392085,0.402424177986764,0.3663645514597509,0.3102633622033935,0.5154746680221478,0.4464057485932737,0.4096270825696415,0.4052581462119393,0.26704994950861166,0.5148417515449114,0.47507755270716934,0.41555684999315795,0.4100441971803308,7.486046944,0.4991114538803046,33.38232372,3321.176585,30707.63223,5500.659776,2.523291428,15.0,50.6,0.0180214265801106,3.594457524,0.5231063831182764,1.6,1.4713583,0.464815,3.9784,28.4,0.0,0.764881538,7956.808294,3.23,69.37358697,23.98809454,7.841121969892632,0.0,0.0,60.55054624,0.5903104195074999,14.107074677147672,2.302791369214727,0.4608131722595771,19.8050041407778,5.11785627705784,25.23,S
AGO,安哥拉,24,2005,0.40481157228362447,0.30572655769776436,0.5118722573519121,0.4284655370750918,0.4066280831799995,0.40317673440917595,0.32219444271242875,0.510990136695681,0.4370625429533814,0.4183559641926668,0.4362198843888483,0.27756036690555297,0.5076039288659189,0.46631003518563613,0.42192355383648905,0.4155311323839949,10.06735933,0.5823903125110096,40.13645109,3115.204003,35748.22753,5956.361472,12.41135295,15.0,42.9,0.0196975920818418,3.646268934,0.5204456071876649,1.6,1.14204562,1.14337,8.35159,29.4,0.0,0.564201747,7671.907357,2.64,77.72767789,33.56291691,6.193058349705884,0.0,0.0,60.10532205,0.5908077324135718,14.092508221705302,2.305654929012593,0.4393278319537119,22.179113927684,5.11785627705784,25.23,S
AGO,安哥拉,24,2006,0.41627066890218073,0.3257078052228364,0.5124899676947309,0.4455954128913448,0.4203945508793572,0.4147514428852486,0.3422302004192514,0.5114490125868404,0.4557985381507443,0.43105729851052116,0.4478837529988767,0.29520563387273874,0.5083952906700332,0.4838567032609914,0.43383534520066,0.4274604074069928,7.795575329,0.5432227078559881,16.81441774,3212.792538,40145.95832,6506.729922,18.22532292,15.0,36.0,0.0160176481872242,3.684892016,0.6280202239499134,1.6,1.28968012,1.5,15.2614,30.5,0.0,0.447410049,7394.351085,2.65,86.93204795,33.35753273,7.55870370581503,0.0,0.0,59.66009786,0.5913130664955483,14.080829389588514,2.3095291569744125,0.4713397567428363,16.9094675827522,5.11785627705784,25.23,S
AGO,安哥拉,24,2007,0.42723216209513976,0.35338337452284563,0.5070461281017749,0.4334528932984986,0.4244363965058302,0.4251332622242407,0.3697100974017354,0.5061249109951875,0.44261565196590813,0.43589598064676793,0.45792777338840374,0.319015817499371,0.5018374259648991,0.4713005907181064,0.4375204018926951,0.4318410043571024,8.851635443,0.6078494515399571,5.174514124,3082.132314,47034.74351,6905.310413,14.48735795,15.0,29.8,0.023317284999528,3.74258021,0.4889655255722472,1.7,1.53876388,1.7,23.8782,37.5,0.0,0.461630203,7122.72616,2.55,98.23555174,39.40983355,8.569048965722477,0.0,0.0,59.21487367,0.5928451110932863,14.067474131707709,2.3136921472687897,0.5018759826534668,20.2365312998466,5.11785627705784,25.23,S
AGO,安哥拉,24,2008,0.422413661265379,0.41643471990483355,0.49762103827676607,0.4293025507716928,0.438903516854859,0.4198800375524729,0.43676591556985167,0.49698398467014626,0.4381757634835152,0.4479514253189965,0.44898173825516147,0.37194258294745214,0.49073615344611443,0.4670858288240729,0.44468657586820026,0.4416355884961255,6.678885924,0.6469654810311097,19.4273825,2968.891952,51983.44948,7686.60799,7.282331634,37.27272727,24.4,0.0199446494464943,3.778289766,0.5491537818274587,1.7,1.91652381,1.9,31.3891,38.5,0.0,0.476623309,6858.629511,2.51,108.8318632,48.68183528,9.617631932886514,0.0,0.0,58.76964947,0.5934787839897329,14.042255554664312,2.319724071548889,0.5020700657663788,21.2474510491282,5.11785627705784,25.23,S
AGO,安哥拉,24,2009,0.3648102013535644,0.4306093784579229,0.520620496208944,0.4347185444993938,0.4422781395803993,0.36425912006457956,0.4510146499773352,0.5188811259052775,0.4441477636796933,0.4445756649067214,0.3976045553943358,0.38483916507735794,0.5185008561756217,0.47251879251959805,0.4433658422917284,0.4434788701256267,-1.809060093,0.4996990679736354,11.97152744,2862.389326,52264.79557,8459.474929,-9.267040561,38.63636364,19.7,0.017076391526926,3.801561875,0.6147731230648644,1.7,2.23769045,2.3,36.1789,33.8,0.0,0.521896052,6602.788259,2.77,111.0037,25.70459231,10.706505843907175,0.0,0.0,58.32442528,0.5946338333199648,13.947196599021416,2.3433704981150236,0.5511371600328051,19.3223854108792,5.11785627705784,25.23,S
AGO,安哥拉,24,2010,0.40751224059443286,0.4280112506340109,0.5142762915692591,0.41922315826253176,0.4401691324384102,0.4058564325786556,0.44898620841945047,0.5127793159562448,0.42721988317481113,0.4487104600322905,0.4322632266607411,0.38215783460639297,0.5108635734927769,0.4560235076163878,0.4453270355940747,0.4439229751486826,1.315790766,0.5295304142690832,28.67079991,2885.043596,52725.65481,9128.369662,7.855778349,38.63636364,16.2,0.0180880391285014,3.851098249,0.630182883966718,1.7,1.46826649,2.8,40.3668,35.0,0.0,0.432163347,6353.342427,2.65,116.8798648,32.68797702,11.18806127800962,3.004959255972088e-06,0.0,57.87920109,0.5975856260527793,13.911029116868534,2.3730247854335444,0.7055088316396453,23.4368134074259,5.11785627705784,25.23,S
AGO,安哥拉,24,2011,0.4161291715485545,0.439121657777091,0.515042512922182,0.4776446919304529,0.46601175721363003,0.4142737161222711,0.45910080725949537,0.5134976213287824,0.48469077296237995,0.4678907294182322,0.4371683908568632,0.39087964768212624,0.5117602158475503,0.5042061143383679,0.4610035921812269,0.45907253147512356,-0.356512142,0.5342063492063492,29.64487914,2835.131289,52385.37038,9955.132861,10.42171712,38.18181818,14.8,0.014866706264631,3.887945997,0.7341540002391574,1.8,1.52542961,4.7,49.8515,34.6,0.0,0.36546349,6111.068168,2.65,121.0803747,32.41146905,11.255748229665029,3.3032800910648256e-06,0.0,57.4339761,0.5970883131467073,13.887591240875912,2.390166038341221,0.7143250064248798,20.0795137803725,10.2342223605419,37.13,S
AGO,安哥拉,24,2012,0.4224030245443996,0.43780013857265604,0.518943982812967,0.4789622977102283,0.46774540677234644,0.4213484668213319,0.4567437062658108,0.517162281298759,0.48621448208738083,0.47036723411832065,0.44930121426735925,0.39017375739802296,0.5165981932468825,0.5055565430595339,0.4654074269929496,0.4629612399279399,4.370087786,0.4937013888888888,7.112269638,2779.177389,56830.89828,10682.01347,9.640527171,34.09090909,14.0,0.01416693921815,3.883583555,0.8459970082686079,1.8,1.39434171,7.7,50.7801,37.3,0.0,0.363022331,5878.289072,2.78,131.3759877,29.06237356,11.66851645436006,3.971816940228207e-06,0.0,56.9887511,0.5972407154888906,13.840940081815994,2.4325419106441,0.7300104024665938,19.4301143088767,10.2342223605419,37.13,S
AGO,安哥拉,24,2013,0.4117132455754497,0.4480531148738347,0.5251946452973256,0.4757619916754554,0.4695024418377606,0.4110312358238968,0.466317863785622,0.5230935108563869,0.48277908054027463,0.47080542275154513,0.4383342194381921,0.39984040857878095,0.5237156162351542,0.5021657521607457,0.4660139991032182,0.4646326525075737,0.921826358,0.4580335570469798,3.233508038,2692.226411,59391.57252,11465.64189,5.472175168,34.09090909,13.5,0.0133919478579673,3.84998069,0.9115014282099948,1.8,1.5071826,13.0,50.7735,38.4,0.0,0.355291018,5656.277207,2.65,137.7911577,24.36883471,12.18191130807631,4.203989815643581e-06,0.0,56.54352611,0.5977059436913451,13.827247934547204,2.445921232052619,0.7687151705558669,20.1140361567382,10.2342223605419,37.13,S
AGO,安哥拉,24,2014,0.39369437272829694,0.45234155451363695,0.5345424888487229,0.48503483331691516,0.473725394455486,0.39439099997993343,0.47026711163358725,0.5320150114760699,0.49294535098510506,0.4724046185186739,0.4229911145914537,0.40495378138571,0.5338826105291397,0.5116311524326893,0.4683646647347482,0.4678961273594426,0.821220989,0.3867320261437909,4.081731881,2690.265943,56967.99057,13038.85892,-2.442177258,36.81818182,13.2,0.0115735700527594,3.732728067,1.2727916503395025,1.8,1.16797769,21.3623,51.7384,32.0,0.0,0.358516879,5449.035703,2.29,144.2063331,18.22661011,12.96817672934786,4.418137056428704e-06,1.1396742186964588e-06,56.09830111,0.5983636801155049,13.820911205582735,2.4456003850164434,0.8005503282326063,17.1576150332537,10.2342223605419,37.13,S
AGO,安哥拉,24,2015,0.3612021634541757,0.4600202270160843,0.540121076976548,0.47846479315352264,0.47048299025282264,0.3627799984142359,0.4780867008656075,0.537292940833262,0.4858501550155857,0.4660024487821728,0.3950022012622106,0.4116191617502093,0.5414838535255976,0.5048747972426576,0.46324500344516883,0.46451647311791777,-2.804708184,0.3221456310679612,2.957345826,2711.177974,55045.35966,12458.99447,-10.01807545,36.81818182,14.2,0.0106960725875886,3.605071622,1.1407141993134546,1.8,1.08924341,22.0,49.3097,42.0,0.0,0.554706546,5256.092824,2.72,145.3068837,10.39627584,13.146811726865211,4.581324150418296e-06,1.2825399043685874e-06,55.65307612,0.5983636801155049,13.820678591481514,2.4454399614983555,0.8136617574286171,18.8815873297655,10.2342223605419,37.13,S
