First-level dimension,Second-level dimension,Third-level indicator,Variables,Direction,Source,entropy_internal_weight,entropy_two_stage_global_weight,entropy_global_weight
Economic,Development quality,GDP per capita growth,GDP per capita growth (annual %)_x,Positive,World Bank World Development Indicators (WDI),0.0036298526474095195,0.0009074631618523799,0.000630180494628983
Economic,Development quality,Merchandise exports (% of GDP),Merchandise exports (% of GDP),Positive,World Bank World Development Indicators (WDI),0.13551974117401455,0.03387993529350364,0.0235276485909091
Economic,Development quality,"Inflation, GDP deflator (annual %)","Inflation, GDP deflator (annual %)",Negative,World Bank World Development Indicators (WDI),0.0007254159089160526,0.00018135397722901316,0.00012593981097791835
Economic,Industrial development,"Agriculture, forestry, and fishing value added per worker","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)_x",Positive,World Bank World Development Indicators (WDI),0.2757251463768925,0.06893128659422312,0.04786877760711362
Economic,Industrial development,Industry value added per worker,"Industry (including construction), value added per worker (constant 2015 US$)_x",Positive,World Bank World Development Indicators (WDI),0.43152911534190974,0.10788227883547744,0.07491798091226809
Economic,Industrial development,Services value added per worker,"Services, value added per worker (constant 2015 US$)_x",Positive,World Bank World Development Indicators (WDI),0.14497737455035858,0.036244343637589646,0.025169592950104368
Economic,External economic linkages,Current account balance (% of GDP),"Current account balance, percent of GDP (Percent of GDP)(IMF)",Positive,World Bank World Development Indicators (WDI),0.007893354000499028,0.001973338500124757,0.0013703690511696264
Social,Social equity,Women in national parliament (% of seats),Proportion of seats held by women in national parliaments (%)_x,Positive,World Bank World Development Indicators (WDI),0.0667937771842355,0.016698444296058875,0.011186279942134295
Social,Social equity,Prevalence of undernourishment,Prevalence of undernourishment (percent) (3-year average),Negative,Food and Agriculture Organization of the United Nations (FAO),0.011483883643854942,0.0028709709109637355,0.0019232620564147089
Social,Population conditions,Life expectancy at birth,"Life expectancy at birth, total (years)_pct_change",Positive,World Bank World Development Indicators (WDI),0.0019234995024038578,0.00048087487560096446,0.00032213785190042993
Social,Population conditions,Population growth (annual %),Population growth (annual %),Negative,World Bank World Development Indicators (WDI),0.013777867611798276,0.003444466902949569,0.0023074467504080086
Social,"Health, science and education",Scientific and technical journal articles per million people,Scientific and technical journal articles per million people,Positive,World Bank World Development Indicators (WDI),0.3805077044670776,0.0951269261167694,0.0637254828480075
Social,"Health, science and education",HIV prevalence (% of population ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)_x",Negative,World Bank World Development Indicators (WDI),0.023905651120327432,0.005976412780081858,0.004003596096884512
Social,"Health, science and education",Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Positive,World Bank World Development Indicators (WDI),0.11531866578493313,0.028829666446233283,0.019312979927240067
Social,Infrastructure,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_x,Positive,World Bank World Development Indicators (WDI),0.1826904036641569,0.045672600916039224,0.030596053768480506
Social,Infrastructure,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people),Positive,World Bank World Development Indicators (WDI),0.15458187181605623,0.03864546795401406,0.025888580718289502
Social,Infrastructure,Access to electricity (% of population),Access to electricity (% of population)_x,Positive,World Bank World Development Indicators (WDI),0.04901667520515614,0.012254168801289034,0.008209061888582059
Resource,Natural resources,Mineral depletion (% of GNI),Adjusted savings: mineral depletion (% of GNI),Negative,World Bank World Development Indicators (WDI),0.0008523947812142295,0.00021309869530355738,0.00043286567857844425
Resource,Natural resources,Net forest depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Negative,World Bank World Development Indicators (WDI),0.0022206039337990353,0.0005551509834497588,0.0011276737608466201
Resource,Natural resources,Renewable internal freshwater resources per capita,Renewable internal freshwater resources per capita (cubic meters)_x,Positive,World Bank World Development Indicators (WDI),0.14418302955200682,0.036045757388001705,0.07321945922477385
Resource,Resource-use efficiency,Energy intensity of primary energy,Energy intensity level of primary energy (MJ/$2021 PPP GDP),Negative,World Bank World Development Indicators (WDI),0.003523119465226175,0.0008807798663065438,0.001789121111060359
Resource,Resource-use efficiency,Water productivity,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)_x",Positive,World Bank World Development Indicators (WDI),0.12758553877997433,0.03189638469499358,0.06479087159839132
Resource,Energy production and consumption,Energy depletion (% of GNI),Adjusted savings: energy depletion (% of GNI),Negative,World Bank World Development Indicators (WDI),0.0011672666874780158,0.00029181667186950396,0.0005927648759620883
Resource,Energy production and consumption,Energy consumption per capita,Energy consumption per capita (million Btu per person),Negative,U.S. Energy Information Administration (EIA),0.002364403935804166,0.0005911009839510415,0.0012006987098718397
Resource,Energy production and consumption,"Solar, tidal, wave, and fuel-cell electricity capacity per capita","Solar, tide, wave, fuel cell electricity installed capacity (million kilowatts)_per_capita",Positive,U.S. Energy Information Administration (EIA),0.34712232808915505,0.08678058202228876,0.17627670348239471
Resource,Energy production and consumption,Biomass and waste electricity net generation per capita,Biomass and waste electricity net generation (million metric tons of oil equivalent)_per_capita,Positive,U.S. Energy Information Administration (EIA),0.3709813147753422,0.09274532869383555,0.1883928457790412
Ecological,Ecological conditions,Forest area (% of land area),Forest area (% of land area)_x,Positive,World Bank World Development Indicators (WDI),0.13360217365999602,0.033400543414999005,0.02018616945683238
Ecological,Ecological conditions,Wetland area (% of land area),Wetland area(% of land area),Positive,FAOSTAT Land Cover data via the IMF Climate Change Indicators Dashboard,0.4024628778256118,0.10061571945640295,0.0608087700170766
Ecological,Ecological conditions,Grassland area (% of land area),Grassland area(% of land area),Positive,Yale Environmental Performance Index (EPI),0.19933160710024997,0.04983290177506249,0.030117336333676675
Ecological,Ecological conditions,Terrestrial barren land (% of land area),"Terrestrial barren land|1000 HA|ECCCT|Terrestrial Barren Land|Environment, Climate Change, Climate Indicators, Land Cover Accounts, Terrestrial Barren Land|Climate neutral(% of land area)",Negative,IMF Climate Change Indicators Dashboard,0.022674032695758888,0.005668508173939722,0.0034258564342759252
Ecological,Environmental pollution,CO2 emissions per capita,CO2 emissions (metric tons per capita)_x,Negative,World Bank World Development Indicators (WDI),0.008209113585369129,0.002052278396342282,0.0012403283074298077
Ecological,Environmental pollution,PM2.5 exposure,PM2.5 exposure/Ambient particulate matter pollution,Negative,Yale Environmental Performance Index (EPI),0.0336156107926156,0.0084039026981539,0.00507903724367206
Ecological,Ecological protection,Terrestrial biome protection,Terrestrial biome protection (global weights),Positive,Yale Environmental Performance Index (EPI),0.0936358048465449,0.023408951211636227,0.014147585866899725
Ecological,Ecological protection,Species Protection Index,Species Protection Index,Positive,Yale Environmental Performance Index (EPI),0.1064687794938537,0.026617194873463423,0.016086540853703018
