Alpha-3 code,Country,Numeric,SDI_TwoStage,SDI_Equal,SDI_Average,SDI_Entropy_TwoStage,SDI_Entropy_Global,SDI,rank_SDI_TwoStage,rank_SDI_Equal,rank_SDI_Average,rank_SDI_Entropy_TwoStage,rank_SDI_Entropy_Global,rank_SDI
SYC,Seychelles,690,0.6279297703173459,0.6444481968935863,0.6598472039915805,0.5342769539174573,0.5491873137766005,0.6623019087709361,1.0,1.0,1.0,1.0,1.0,1.0
GAB,Gabon,266,0.5745043421750321,0.5581264547325709,0.5595239854207603,0.29896859843500956,0.23378241205019668,0.5975478114075577,2.0,3.0,3.0,6.0,5.0,3.0
NAM,Namibia,516,0.5670696642358746,0.5608984698969316,0.5668606532600956,0.32917097494084063,0.2710685920416963,0.6038858370553463,3.0,2.0,2.0,4.0,4.0,2.0
BWA,Botswana,72,0.5506105756100113,0.5468692660013119,0.5517062493518096,0.30983966314293565,0.21311513461518716,0.5809959937914325,4.0,4.0,4.0,5.0,7.0,4.0
MUS,Mauritius,480,0.5397113331857847,0.5420387073553479,0.5515013002869747,0.3757717847758154,0.4072355110693599,0.5281533227443074,5.0,5.0,5.0,3.0,2.0,8.0
SEN,Senegal,686,0.524334696808648,0.518659890116245,0.5269824412095222,0.22345327038008117,0.16175614668469618,0.5672085252625574,6.0,7.0,7.0,11.0,12.0,5.0
ZAF,South Africa,710,0.5226793504147842,0.530386179754218,0.5433318346528695,0.39134309328655476,0.3555656944215268,0.527837980741573,7.0,6.0,6.0,2.0,3.0,9.0
GIN,Guinea,324,0.5082336509949192,0.4992481899501816,0.4986888125946198,0.16807673809423151,0.11980308932406292,0.5265029819214013,8.0,9.0,10.0,23.0,23.0,10.0
GHA,Ghana,288,0.5013513836581811,0.5005273158502195,0.5101638095055321,0.21407939401880932,0.15025817502317776,0.5352783564261454,9.0,8.0,8.0,13.0,14.0,6.0
COG,"Congo, Rep.",178,0.4947824834409479,0.4879450280738535,0.4884000810635754,0.20393007873867963,0.16334095505287194,0.5196669089517315,10.0,11.0,15.0,16.0,11.0,12.0
GNB,Guinea-Bissau,624,0.4889301106143714,0.4913222721145635,0.4916721538851847,0.21244033014081903,0.14106970424617638,0.5348506100783064,11.0,10.0,11.0,15.0,16.0,7.0
CIV,Côte d'Ivoire,384,0.4879519894135298,0.4826572964507474,0.48901702328583,0.16649862780420355,0.1167620949739029,0.5110500798227521,12.0,15.0,14.0,24.0,25.0,15.0
COM,Comoros,174,0.4873703879788932,0.4845344843524297,0.4906102229840472,0.15956750520582724,0.11286005654438816,0.5199783850527496,13.0,13.0,12.0,28.0,28.0,11.0
ZMB,Zambia,894,0.4826261625853657,0.4741678965163002,0.4702740805067775,0.2192027526789692,0.15080373370395986,0.5193816542315415,14.0,19.0,23.0,12.0,13.0,13.0
STP,São Tomé and Principe,678,0.4818494816737223,0.4839100354042492,0.4895925765745901,0.19585434022669798,0.13553535548671036,0.5057920027124813,15.0,14.0,13.0,17.0,17.0,16.0
GNQ,Equatorial Guinea,226,0.4814073752757908,0.4774745661415585,0.4822170293469939,0.24234743963700361,0.1941517421144357,0.504545273131011,16.0,18.0,17.0,8.0,8.0,17.0
CPV,Cape Verde,132,0.4813871895693121,0.4867789418547295,0.5029982816423956,0.2133336412719099,0.1737732175079973,0.4867698452636665,17.0,12.0,9.0,14.0,10.0,22.0
DJI,Djibouti,262,0.4787511167106712,0.4810015036371552,0.4791537908566094,0.2446403342673867,0.1775883914420471,0.4227161179107805,18.0,16.0,18.0,7.0,9.0,40.0
TZA,Tanzania,834,0.4747633351038679,0.4735613638901079,0.4758261224337314,0.18581864226373296,0.1224104749324577,0.5144922463611791,19.0,20.0,20.0,18.0,21.0,14.0
AGO,Angola,24,0.4741027027196595,0.4698803743322967,0.4700080971236108,0.18007476181045257,0.13035930066585588,0.4769618490869019,20.0,23.0,24.0,21.0,18.0,26.0
SWZ,Swaziland,748,0.4703042797917761,0.4802314691279248,0.4834731171759916,0.24133586456228712,0.2162509165066793,0.4637157176438193,21.0,17.0,16.0,9.0,6.0,30.0
BEN,Benin,204,0.4696391887803395,0.470167959754575,0.4729922613701023,0.15448644894364688,0.11005647829319519,0.4986868373599059,22.0,22.0,22.0,31.0,30.0,19.0
BFA,Burkina Faso,854,0.4665722007999992,0.4648956477947685,0.4656818028738493,0.16580393745371663,0.1137302428198987,0.4996300395112719,23.0,25.0,25.0,25.0,26.0,18.0
KEN,Kenya,404,0.4646810331156893,0.4680576351742318,0.4741487839633771,0.1819142590306371,0.12660192379440188,0.4863556705096075,24.0,24.0,21.0,20.0,19.0,23.0
GMB,"Gambia, The",270,0.4602022670453763,0.4720999894023371,0.4778366889956266,0.2237111032763636,0.14692376920940659,0.4893875072557765,25.0,21.0,19.0,10.0,15.0,21.0
ZWE,Zimbabwe,716,0.4559356097893917,0.4564051906457896,0.4586975114778266,0.17259153911154468,0.11770124927047133,0.4916417968614803,26.0,26.0,27.0,22.0,24.0,20.0
TGO,Togo,768,0.4518925183038021,0.4531188205182727,0.4564996932904285,0.1425396675646355,0.10317528353730489,0.4802429639162858,27.0,29.0,29.0,36.0,33.0,25.0
CMR,Cameroon,120,0.4497468775959609,0.4544935288693668,0.4629201873745402,0.1580997327686133,0.11315803169239765,0.4640524128180717,28.0,28.0,26.0,29.0,27.0,29.0
SLE,Sierra Leone,694,0.4493497915851158,0.4555060388379424,0.4576480939770173,0.16541571297541724,0.12039880902656908,0.4749737978672267,29.0,27.0,28.0,26.0,22.0,27.0
MOZ,Mozambique,508,0.4483762114327593,0.4525679627087757,0.4535614385125083,0.16390536603886963,0.11120153076713808,0.4817000192059028,30.0,30.0,30.0,27.0,29.0,24.0
MWI,Malawi,454,0.4398738050275703,0.4460982245311874,0.4478272429197241,0.15040581525791952,0.10294517237021597,0.4712710297486627,31.0,31.0,32.0,32.0,34.0,28.0
RWA,Rwanda,646,0.4390466422266231,0.4425653725798535,0.4514027272442447,0.15730688636539275,0.108110306013603,0.4480374839882816,32.0,33.0,31.0,30.0,31.0,32.0
ETH,Ethiopia,231,0.4380534740199036,0.4409536138790701,0.4469057898068397,0.1368983995978016,0.09217303663638365,0.4583835201613747,33.0,34.0,34.0,39.0,40.0,31.0
MLI,Mali,466,0.4310810300133801,0.427577411894625,0.4342543020248381,0.15012204095890375,0.10569510275620299,0.4424740985016064,34.0,37.0,36.0,33.0,32.0,34.0
LSO,Lesotho,426,0.4300805878001965,0.4433986412737639,0.44732839311228,0.18268822484569858,0.12419343373264088,0.4473791208662883,35.0,32.0,33.0,19.0,20.0,33.0
NGA,Nigeria,566,0.4295475856615096,0.4373337803792609,0.4423634156348701,0.1481207412538666,0.10207217478073269,0.4410045594625869,36.0,35.0,35.0,34.0,36.0,35.0
NER,Niger,562,0.423860263525878,0.4240744836695598,0.4297478424025074,0.12433823186177256,0.08350462931042887,0.4394599759316217,37.0,39.0,38.0,40.0,43.0,38.0
MDG,Madagascar,450,0.422578376355065,0.4318406947890558,0.4320528042945429,0.14140743026557095,0.09779653509427838,0.4408305128946855,38.0,36.0,37.0,38.0,39.0,36.0
UGA,Uganda,800,0.4200573109540625,0.4254338706085264,0.4286565860991202,0.14327879140059785,0.10249913235856793,0.4405874281695167,39.0,38.0,39.0,35.0,35.0,37.0
TCD,Chad,148,0.3995068505468112,0.4036853870806745,0.4113323275442224,0.12247784356175162,0.08301446452726333,0.4221391758415452,40.0,43.0,41.0,42.0,44.0,41.0
