variable,dataset_name,source_org,raw_file,raw_indicator_name,transform_note,key,sub_source_note
Anthracite consumption (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite consumption (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite consumption (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite consumption (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite consumption (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite consumption (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite consumption (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite consumption (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite consumption (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite consumption (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite exports (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite exports (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite exports (million metric tons of oil equivalent),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite exports (million metric tons of oil equivalent),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite exports (quadrillion Btu),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite exports (quadrillion Btu),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite exports (terajoules),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite exports (terajoules),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite exports (thousand short tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite exports (thousand short tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
Anthracite imports (1000 metric tons),EIA International Energy,U.S. Energy Information Administration,EIA Energy Information Administration/INTL.zip,Anthracite imports (1000 metric tons),Parsed annual country series from EIA INTL; variable labels are constructed from the cleaned series name plus units after removing trailing geography from the source title.,Numeric-Year,
